asset_id,asset_type,max_depth_m,hand_m,chainage_id,segment_length_m,parent_road_id,flooded,flooded_fraction,damage_fraction,expected_loss,return_period_years,scenario,hazard_depth_m,vulnerability,relative_risk,client_score_1_10,confidence,explanation
building_000000,building,0.0,139.82745361328125,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 139.8 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000001,building,0.0,87.646728515625,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000001) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 87.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000002,building,0.0,77.62091064453125,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000002) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 77.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000003,building,3.5052321724771413e-25,236.59295654296875,,,,,,2.453662520733999e-25,,100,historical_synthetic,3.5052321724771413e-25,2.453662520733999e-25,2.453662520733999e-25,1.0,LOW,"This building (ID building_000003) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 236.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000004,building,1.4353565775354676e-24,240.349365234375,,,,,,1.0047496042748275e-24,,100,historical_synthetic,1.4353565775354676e-24,1.0047496042748275e-24,1.0047496042748275e-24,1.0,LOW,"This building (ID building_000004) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 240.3 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000005,building,0.0,78.18829345703125,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000005) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 78.2 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000006,building,0.0,76.57562255859375,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000006) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 76.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000007,building,0.0,91.59686279296875,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000007) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 91.6 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000008,building,1.5011090518717545e-13,109.36322021484375,,,,,,1.0507763363102282e-13,,100,historical_synthetic,1.5011090518717545e-13,1.0507763363102282e-13,1.0507763363102282e-13,1.0,LOW,"This building (ID building_000008) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 109.4 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000009,building,2.880460996979626e-23,221.7803955078125,,,,,,2.0163226978857384e-23,,100,historical_synthetic,2.880460996979626e-23,2.0163226978857384e-23,2.0163226978857384e-23,1.0,LOW,"This building (ID building_000009) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 221.8 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000010,building,4.9092156365972036e-26,253.49078369140625,,,,,,3.436450945618043e-26,,100,historical_synthetic,4.9092156365972036e-26,3.436450945618043e-26,3.436450945618043e-26,1.0,LOW,"This building (ID building_000010) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 253.5 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000011,building,3.1594430620040817e-13,114.85430908203125,,,,,,2.2116101434028574e-13,,100,historical_synthetic,3.1594430620040817e-13,2.2116101434028574e-13,2.2116101434028574e-13,1.0,LOW,"This building (ID building_000011) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 114.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000012,building,6.000695191110128e-20,184.02740478515625,,,,,,4.2004866337770897e-20,,100,historical_synthetic,6.000695191110128e-20,4.2004866337770897e-20,4.2004866337770897e-20,1.0,LOW,"This building (ID building_000012) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 184.0 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000013,building,0.0,163.68646240234375,,,,,,0.0,,100,historical_synthetic,0.0,0.0,0.0,1.0,LOW,"This building (ID building_000013) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 163.7 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
building_000014,building,3.736112968956568e-13,113.88177490234375,,,,,,2.6152790782695976e-13,,100,historical_synthetic,3.736112968956568e-13,2.6152790782695976e-13,2.6152790782695976e-13,1.0,LOW,"This building (ID building_000014) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 113.9 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,8.944770843516142e-13,104.71240234375,road_000000_000,2014.3526905449107,road_000000,False,0.0,4.472385421758071e-13,,100,historical_synthetic,8.944770843516142e-13,4.472385421758071e-13,4.472385421758071e-13,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 104.7 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,9.289313701910825e-20,192.111328125,road_000000_001,2014.3526905449107,road_000000,False,0.0,4.6446568509554124e-20,,100,historical_synthetic,9.289313701910825e-20,4.6446568509554124e-20,4.6446568509554124e-20,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 192.1 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
road_000000,road,4.9092156365972036e-26,253.49078369140625,road_000000_002,2014.3526905449107,road_000000,False,0.0,2.4546078182986018e-26,,100,historical_synthetic,4.9092156365972036e-26,2.4546078182986018e-26,2.4546078182986018e-26,1.0,LOW,"This road (ID road_000000) shows negligible modelled flood depth under the selected scenario (historical_synthetic). It lies approximately 253.5 m above the nearest drainage network. Client-facing risk score: 1/10 (confidence: LOW). This is a screening-level estimate derived from rainfall extremes, terrain (HAND proxy), and literature vulnerability curves. It is not a substitute for detailed hydraulic modelling or site survey."
